component,study,source,lipid_pct,component_pct,provenance,state
water,1,Mitchell et al. 1945,42.44,50.09,paper,healthy
water,9,Woodard 1986,52.9,25.7,figure,healthy
water,8,Baker 1969,56.0,41.4,figure,healthy
water,6,Thomas 1962,56.6,23.1,figure,comparison
water,7,Morse & Soeldner 1963,56.6,28.8,figure,comparison
water,4,Entenman et al. 1958,62.3,32.4,paper,reduced
water,8,Baker 1969,64.9,30.6,figure,healthy
water,8,Baker 1969,65.6,33.1,figure,healthy
water,5,Pawan & Clode 1960,68.3,28.5,figure,comparison
water,9,Woodard 1986,69.4,20.5,figure,healthy
water,9,Woodard 1986,70.0,18.3,figure,healthy
water,6,Thomas 1962,70.3,28.5,figure,comparison
water,0,(unlabeled in FIG.1),71.4,26.0,figure,unspecified
water,2,Forbes et al. 1953,71.57,23.02,paper,healthy
water,0,(unlabeled in FIG.1),72.4,26.0,figure,unspecified
water,0,(unlabeled in FIG.1),73.2,25.1,figure,unspecified
water,7,Morse & Soeldner 1963,77.2,20.0,figure,comparison
water,7,Morse & Soeldner 1963,78.1,19.6,figure,comparison
water,8,Baker 1969,78.3,17.9,figure,healthy
water,3,Forbes et al. 1956,78.35,16.76,paper,healthy
water,4,Entenman et al. 1958,78.9,17.7,paper,reduced
water,4,Entenman et al. 1958,79.2,18.0,paper,obese
water,8,Baker 1969,79.4,18.1,figure,healthy
water,9,Woodard 1986,80.0,10.7,figure,healthy
water,9,Woodard 1986,80.05,9.25,figure,healthy
water,9,Woodard 1986,80.25,8.75,figure,healthy
water,4,Entenman et al. 1958,85.7,12.5,paper,obese
water,8,Baker 1969,86.7,11.2,figure,healthy
water,8,Baker 1969,87.6,10.3,figure,healthy
water,8,Baker 1969,87.6,12.0,figure,healthy
water,7,Morse & Soeldner 1963,88.6,9.5,figure,comparison
protein,1,Mitchell et al. 1945,42.44,7.06,paper,healthy
protein,8,Baker 1969,56.2,4.2,figure,healthy
protein,6,Thomas 1962,56.3,6.9,figure,comparison
protein,8,Baker 1969,64.7,4.3,figure,healthy
protein,8,Baker 1969,65.5,3.4,figure,healthy
protein,5,Pawan & Clode 1960,68.3,2.2,figure,comparison
protein,6,Thomas 1962,70.0,8.2,figure,comparison
protein,9,Woodard 1986,70.0,11.8,figure,healthy
protein,9,Woodard 1986,70.0,10.5,figure,healthy
protein,8,Baker 1969,71.5,2.35,figure,healthy
protein,2,Forbes et al. 1953,71.57,5.85,paper,healthy
protein,8,Baker 1969,72.5,1.4,figure,healthy
protein,8,Baker 1969,72.7,2.55,figure,healthy
protein,8,Baker 1969,77.0,0.5,figure,healthy
protein,8,Baker 1969,78.2,1.65,figure,healthy
protein,3,Forbes et al. 1956,78.35,6.75,paper,healthy
protein,8,Baker 1969,79.2,1.85,figure,healthy
protein,8,Baker 1969,86.65,0.62,figure,healthy
protein,8,Baker 1969,87.35,0.5,figure,healthy
protein,8,Baker 1969,87.55,1.5,figure,healthy
ash,1,Mitchell et al. 1945,42.44,0.51,paper,healthy
ash,9,Woodard 1986,52.7,0.17,figure,healthy
ash,9,Woodard 1986,69.5,0.05,figure,healthy
ash,9,Woodard 1986,70.2,0.12,figure,healthy
ash,2,Forbes et al. 1953,71.57,0.2,paper,healthy
ash,3,Forbes et al. 1956,78.35,0.95,paper,healthy
ash,9,Woodard 1986,79.8,0.095,figure,healthy
ash,9,Woodard 1986,79.85,0.225,figure,healthy
