scan,label,f_water,f_lipid,f_protein
noise_sim1,8,0.0200,0.8219,0.1581
noise_sim1,9,0.8047,0.1821,0.0133
noise_sim1,10,0.0675,0.8792,0.0533
noise_sim1,11,0.0200,0.7200,0.2600
noise_sim1,12,0.5697,0.1799,0.2504
noise_sim1,13,0.2236,0.6963,0.0800
noise_sim1,14,0.2695,0.4472,0.2833
noise_sim1,15,0.3981,0.5825,0.0195
noise_sim1,16,0.2210,0.6735,0.1055
noise_sim1,17,0.0200,0.7426,0.2374
noise_sim1,18,0.7879,0.1800,0.0320
noise_sim1,19,0.6649,0.0925,0.2426
noise_sim1,20,0.7421,0.1967,0.0612
noise_sim2,8,0.2961,0.4825,0.2214
noise_sim2,9,0.5127,0.3546,0.1327
noise_sim2,10,0.3411,0.6284,0.0305
noise_sim2,11,0.3948,0.4065,0.1987
noise_sim2,12,0.4907,0.3582,0.1511
noise_sim2,13,0.4738,0.4490,0.0772
noise_sim2,14,0.6115,0.2419,0.1466
noise_sim2,15,0.3391,0.5948,0.0661
noise_sim2,16,0.1291,0.5858,0.2851
noise_sim2,17,0.0200,0.7364,0.2436
noise_sim2,18,0.2570,0.4805,0.2625
noise_sim2,19,0.1381,0.6601,0.2018
noise_sim2,20,0.4257,0.4552,0.1191
noise_sim3,8,0.0200,0.7865,0.1935
noise_sim3,9,0.1595,0.7336,0.1069
noise_sim3,10,0.1952,0.6623,0.1424
noise_sim3,11,0.7022,0.2590,0.0388
noise_sim3,12,0.4404,0.4179,0.1417
noise_sim3,13,0.2663,0.5211,0.2126
noise_sim3,14,0.3090,0.6303,0.0607
noise_sim3,15,0.4022,0.3867,0.2111
noise_sim3,16,0.6787,0.0840,0.2373
noise_sim3,17,0.0200,0.7912,0.1888
noise_sim3,18,0.0200,0.6853,0.2947
noise_sim3,19,0.0281,0.8803,0.0916
noise_sim3,20,0.8899,0.0545,0.0556
noise_sim4,8,0.2700,0.6730,0.0571
noise_sim4,9,0.8493,0.0619,0.0888
noise_sim4,10,0.0603,0.6636,0.2761
noise_sim4,11,0.2393,0.6381,0.1226
noise_sim4,12,0.0200,0.8076,0.1724
noise_sim4,13,0.1874,0.5856,0.2271
noise_sim4,14,0.2091,0.5849,0.2060
noise_sim4,15,0.1030,0.7043,0.1927
noise_sim4,16,0.2151,0.4993,0.2856
noise_sim4,17,0.3760,0.4553,0.1687
noise_sim4,18,0.0451,0.8714,0.0835
noise_sim4,19,0.3897,0.5888,0.0216
noise_sim4,20,0.0200,0.6915,0.2885
deliveredmap,8,0.0759,0.7408,0.1833
deliveredmap,9,0.1174,0.7918,0.0908
deliveredmap,10,0.4742,0.4764,0.0494
deliveredmap,11,0.6971,0.2400,0.0629
deliveredmap,12,0.5911,0.4074,0.0015
deliveredmap,13,0.5967,0.1710,0.2323
deliveredmap,14,0.6047,0.1829,0.2124
deliveredmap,15,0.8296,0.1378,0.0326
deliveredmap,16,0.7559,0.1224,0.1217
deliveredmap,17,0.0936,0.6624,0.2440
deliveredmap,18,0.0958,0.7407,0.1635
deliveredmap,19,0.4542,0.3171,0.2288
deliveredmap,20,0.0200,0.8269,0.1531
