# Oxford radial profile inverted to the TISSUE domain by forward-model fit
# (sigma = 1.05 mm, FWHM = 2.473 mm), so that
# re-simulating blurs ONCE and the measurement returns to the clinical curve.
# Composition = Woodard-1986 adipose prior applied ONCE, to the TISSUE HU (200k draws,
# importance-weighted by a Gaussian likelihood at that layer's standard error of the mean).
# No composition is computed in the clinical domain. See pcat_deconv_design.jl
# The *_posterior_standard_deviation columns are the PRIOR-conditional spread at that
# layer's HU, not a measurement error. Nothing downstream reads them; they are the bands.
group,distance_mm,water_volume_fraction,lipid_volume_fraction,protein_volume_fraction,water_volume_fraction_posterior_standard_deviation,lipid_volume_fraction_posterior_standard_deviation,protein_volume_fraction_posterior_standard_deviation
healthy,1,0.24250521306882358,0.7318830743135694,0.025611712617607245,0.04999718768182911,0.03616402029031721,0.014559825545362205
healthy,2,0.23708464221893827,0.7384629840601773,0.02445237372088438,0.04866336510997762,0.03556125603738173,0.014102926629583477
healthy,3,0.23209776131623971,0.7444900260373303,0.023412212646429918,0.04697019617133364,0.034128756054573085,0.013606078182283392
healthy,4,0.2269463936900791,0.7505727036157185,0.02248090269420249,0.04556353665413765,0.033185423462696075,0.013164740208188114
healthy,5,0.2218005566167869,0.7565535134652104,0.021645929918002602,0.044292776382573264,0.032346888080886274,0.012757420318251694
healthy,6,0.21667320085156094,0.7624314194463966,0.02089537970204243,0.04307950721093196,0.03154153427503563,0.01237324358361648
healthy,7,0.21167193255597153,0.7681304132995261,0.02019765414450227,0.04156076577365113,0.030185406850121565,0.011981691984178838
healthy,8,0.20681356237287585,0.7736292865580948,0.019557151069029246,0.04031813005015228,0.02933649809618181,0.011601610485677661
healthy,9,0.20203633550841146,0.7789729136420923,0.018990750849496328,0.03920052763846539,0.028591027495346,0.011244633587223525
healthy,10,0.1973020252445047,0.7842064170336036,0.018491557721891816,0.038226689323635,0.02794271250667339,0.01093793005255291
healthy,11,0.1927094761324546,0.7892720380388334,0.018018485828711944,0.03732457791587661,0.02732551795866492,0.010673403572815125
healthy,12,0.18837975341753158,0.7940811299371838,0.017539116645284382,0.03641522485948046,0.026685943696625997,0.010421349022667633
healthy,13,0.184361902490357,0.7985889280099009,0.017049169499742063,0.03547831717335555,0.026022412813438905,0.010162110326880008
healthy,14,0.18051356821036374,0.8029326404037663,0.016553791385869897,0.034201086283591024,0.024800061432131995,0.009871325656155658
healthy,15,0.17701579341553672,0.8069140107526365,0.016070195831826724,0.033278882910253355,0.024163279158299352,0.009597198349919504
healthy,16,0.1736406827562313,0.8107417950411617,0.015617522202606936,0.03242766633713867,0.02358363207539608,0.009337734542836524
healthy,17,0.17035087335035382,0.8144491246256149,0.015200002024031253,0.03165516149943974,0.023062725543802107,0.009098932380593774
healthy,18,0.16713910797863274,0.8180472486484361,0.014813643372931179,0.03097046307874676,0.022602510455266626,0.008887504133693632
healthy,19,0.16401945857235678,0.8215284706560708,0.014452070771572489,0.03037301893913904,0.022199714770666387,0.00870406214184712
healthy,20,0.16100142471996637,0.8248840464882948,0.01411452879173868,0.02985298215564212,0.02184968190298564,0.008542144434454375
diseased,1,0.26863298633171484,0.6968819515724118,0.03448506209587328,0.061827629739865234,0.04435095813305224,0.018071667613296025
diseased,2,0.2633873740313133,0.7038553345886183,0.0327572913800685,0.059115355684536255,0.04242447766109566,0.017317884993462707
diseased,3,0.25876154005370855,0.7102184998508025,0.03101996009548884,0.0565869460441839,0.04045393836264228,0.01658897258054277
diseased,4,0.25433181144524664,0.7164680009769826,0.02920018757777066,0.05414000969831017,0.03874009244705418,0.015868093544380898
diseased,5,0.24972709811232552,0.7227251796687328,0.027547722218941518,0.052079891249701214,0.03732785658861665,0.015234250151507102
diseased,6,0.24465974451913136,0.7292640620932649,0.02607619338760369,0.050423691956667197,0.036216602653881116,0.014712002281715491
diseased,7,0.23910553301057166,0.7361159903415329,0.024778476647895675,0.04882628553828207,0.03514092739278023,0.014206668125977534
diseased,8,0.2333303453623546,0.7430469314365646,0.023622723201080862,0.04708100633111015,0.033938507129459186,0.013677427623917557
diseased,9,0.22755318198798585,0.7499017652996369,0.022545052712377223,0.045402489497870874,0.03278673209992286,0.013168799838414496
diseased,10,0.22158175233890987,0.7568467238914114,0.021571523769678642,0.04393984442417042,0.031811041461996106,0.012703339923565883
diseased,11,0.2153839127708936,0.7639146078976156,0.02070147933149093,0.04249390007369928,0.030830473345496323,0.012258741503011185
diseased,12,0.20927304303084016,0.7708691695734456,0.019857787395714276,0.04065707617224266,0.029275335673239457,0.011781061532748487
diseased,13,0.2032153319474389,0.7777118300347599,0.019072838017801262,0.039054949903383276,0.02818858817195947,0.011278155342487724
diseased,14,0.19681418748752133,0.7847443537513721,0.01844145876110659,0.037760721136981444,0.027317027974584986,0.010871758873187129
diseased,15,0.190471074970329,0.791713593155567,0.01781533187410405,0.03660613147197124,0.026505668475126976,0.01054745369107275
diseased,16,0.18457770202825974,0.7983174367947623,0.017104861176978008,0.03526844750505059,0.025550743201836132,0.010178027142402716
diseased,17,0.17908887851516997,0.8045548401296716,0.016356281355158278,0.03382231953963542,0.0245372658845075,0.009759713109529701
diseased,18,0.17373463428822392,0.8106355546358577,0.015629811075918428,0.03245065226446874,0.023599197499609273,0.009344806129816691
diseased,19,0.16834170320082725,0.8167020001683793,0.014956296630793432,0.031218380975570337,0.022769228401204208,0.008963863432576444
diseased,20,0.16290630841987136,0.8227677930489461,0.014325898531182431,0.030174928023928183,0.022066096581096487,0.008642895082454015
