group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein,sem_water,sem_lipid,sem_protein,sd_lipid,in_statistics
healthy,1,7113,7113,5697,-74.8174878945478,-47.388054304948824,-55.432052787739245,0.24250521306882358,0.7318830743135694,0.025611712617607245,0.48564923731076004,0.47035952470892683,0.043991237980313104,0.002297657076197607,0.0020834161580110294,0.00047324337234766234,0.17571240877784702,false
healthy,2,10268,10268,9889,-75.86612798323027,-68.14039055106238,-70.12275154070565,0.23708464221893827,0.7384629840601773,0.02445237372088438,0.3486131946929693,0.6172213533336907,0.0341654519733401,0.0016226648259857512,0.0014550829782182953,0.00034205976618300525,0.14744521745348138,false
healthy,3,12691,12691,12220,-76.82076803252538,-69.9324226355254,-71.95868046740269,0.23209776131623971,0.7444900260373303,0.023412212646429918,0.3247640834736386,0.6438331432450094,0.03140277328135199,0.0014196147677988224,0.0012851243331670965,0.000292250231854139,0.14477483174088487,true
healthy,4,11711,11711,10984,-77.75216898698999,-67.97028173459563,-71.35253487498068,0.2269463936900791,0.7505727036157185,0.02248090269420249,0.3451255172954299,0.6239485522082602,0.03092593049631002,0.001637118695348401,0.0015382935185816857,0.00031602576717093463,0.16647008477013028,true
healthy,5,10794,10794,9979,-78.64612459716511,-69.20948793269226,-73.49425747805743,0.2218005566167869,0.7565535134652104,0.021645929918002602,0.3393491442923927,0.6319894986628538,0.028661357044753446,0.0017891669899696464,0.0017282621778071786,0.0003231340885216624,0.179556376482841,true
healthy,6,9045,9045,8546,-79.50574302882089,-76.86473441138666,-79.97532335723727,0.21667320085156094,0.7624314194463966,0.02089537970204243,0.3064823700430343,0.6670709717009254,0.026446658256040142,0.001899146641799907,0.0018419638087008353,0.0003511769807070877,0.17518034545387376,true
healthy,7,9823,9698,8926,-80.33108441618113,-82.50965227408246,-83.15271877799097,0.21167193255597153,0.7681304132995261,0.02019765414450227,0.3247206070355823,0.6536917321245522,0.021587660839865467,0.0019053995239122145,0.0018621201853200313,0.00031975766852567915,0.1833786612101338,true
healthy,8,7879,7660,6999,-81.11858990405466,-83.8932415202221,-82.07838289402845,0.20681356237287585,0.7736292865580948,0.019557151069029246,0.3304968173931818,0.647695641848144,0.021807540758674155,0.002056627375648786,0.0020146496214761035,0.00036930330955683527,0.17632500765751796,true
healthy,9,6999,6878,6378,-81.86870418645789,-85.25324847559816,-83.56127190163757,0.20203633550841146,0.7789729136420923,0.018990750849496328,0.309808653140546,0.6680752636230626,0.022116083236391415,0.0019940528526649114,0.0019397512405375493,0.0003886223344607059,0.1608707638801978,true
healthy,10,6399,6302,5875,-82.58833309287677,-85.70034006829113,-84.08937893027448,0.1973020252445047,0.7842064170336036,0.018491557721891816,0.2961004244312403,0.6801427235191049,0.023756852049654772,0.0022038513612859627,0.002120880087349812,0.0004149658912191292,0.16836635660863664,true
healthy,11,6488,6363,5913,-83.28214242391334,-86.11635676024939,-85.16468963835942,0.1927094761324546,0.7892720380388334,0.018018485828711944,0.2873509163614797,0.689359355474031,0.02328972816448931,0.0023481250107253893,0.0022756361994708063,0.00039489038916988795,0.18152389229749272,true
healthy,12,6336,6259,5868,-83.94900270934404,-84.34640133837995,-84.61516339224703,0.18837975341753158,0.7940811299371838,0.017539116645284382,0.291622989250491,0.6879618105788884,0.020415200170620505,0.0022910874812708316,0.0022351116726754034,0.00037213647584709384,0.17682827178088764,true
healthy,13,6794,6684,6347,-84.58507223802317,-85.14436794500877,-84.68060311148706,0.184361902490357,0.7985889280099009,0.017049169499742063,0.28070187143084274,0.699122190846578,0.02017593772257922,0.0020425582154439638,0.0019829230916665963,0.0003739375372333153,0.1621153323168832,true
healthy,14,7309,7231,6901,-85.20428376636637,-85.5488675134572,-85.1241985117071,0.18051356821036374,0.8029326404037663,0.016553791385869897,0.27562844219693794,0.703744677662065,0.020626880140997044,0.0018954274826482166,0.0018224329883353523,0.00036243698352902504,0.15497111182446618,true
healthy,15,8224,8086,7677,-85.77983537839359,-88.42393660036542,-87.01366003090412,0.17701579341553672,0.8069140107526365,0.016070195831826724,0.2740484697813128,0.7065043926870774,0.019447137531609787,0.001824756940905145,0.0017576061710442585,0.00032555722873472357,0.15804779357161952,true
healthy,16,8674,8495,7982,-86.3298652543224,-91.51427886542184,-89.06883617655373,0.1736406827562313,0.8107417950411617,0.015617522202606936,0.2637171017843114,0.7159141619260556,0.020368736289632993,0.0018225581449967244,0.001743032117097801,0.00033597485137027826,0.16065234939361012,true
