group,shell_mm,n_geom,n_pv,n_gate,truth_HU,HU_pv,HU_gate,gt_water,gt_lipid,gt_protein,ms_water,ms_lipid,ms_protein
healthy,1,7113,110,5702,-75.00338094525866,-69.8940160924738,-55.52812689657757,0.24225902582901307,0.7325436068228566,0.02519736734813043,0.3280833081225326,0.643511887306048,0.028404804571419515
healthy,2,10268,964,9890,-75.96759633301036,-74.653516994967,-70.21898123796115,0.23849081456348312,0.737733100731456,0.02377608470506085,0.25878484565445714,0.7087809927326955,0.03243416161284722
healthy,3,12691,3440,12220,-76.89738634083918,-77.36514259881751,-72.02892128012574,0.2319488704945608,0.7447958391042918,0.023255290401147374,0.2501116856084206,0.7216414041944719,0.02824691019710771
healthy,4,11711,3953,10986,-77.79397343002832,-80.00871915983726,-71.3855319649019,0.22552920269486557,0.7516851727852318,0.02278562451990258,0.24178357048341326,0.7345093179865445,0.023707111530042378
healthy,5,10794,4302,9980,-78.65853960050089,-83.35702050801822,-73.50415009955366,0.2207269027060472,0.7573459412449125,0.021927156049040292,0.23049106379790307,0.749040035961238,0.020468900240858942
healthy,6,9045,2972,8546,-79.49223170310245,-85.77204462336339,-79.96580681777408,0.21611474978544568,0.7627913568780625,0.02109389333649176,0.21492454072066844,0.762745712336096,0.02232974694323567
healthy,7,9823,2439,8925,-80.29615321562717,-86.48074730110247,-83.13085962674865,0.21129919916215067,0.7683028642905563,0.020397936547293067,0.20814475337264765,0.7703919377289542,0.02146330889839814
healthy,8,7879,2058,6998,-81.07136567615261,-85.2819406492717,-82.04769262404876,0.20693041551108618,0.773423042176554,0.019646542312359804,0.22485304175077958,0.7576621502084887,0.017484808040731645
healthy,9,6999,2034,6377,-81.81889597565137,-85.577951071185,-83.52680336556054,0.20231036984467432,0.7786486541699446,0.01904097598538111,0.2257394111844777,0.757134969684275,0.017125619131247327
healthy,10,6399,1953,5875,-82.53973211851711,-87.48152686459433,-84.0463397606383,0.19766632606904644,0.7838214233318566,0.01851225059909698,0.2004638780123995,0.7777202290582477,0.021815892929352806
healthy,11,6488,2075,5912,-83.23482725268487,-88.26837618540569,-85.13233673040212,0.19304450252971625,0.7889111288265139,0.01804436864376982,0.19256700734319426,0.7868925333602977,0.020540459296508023
healthy,12,6336,2219,5868,-83.9050989300593,-87.88500806199049,-84.57768504995022,0.18912281433526687,0.7934403304423326,0.01743685522240049,0.1972649137491154,0.7845763138922203,0.01815877235866431
healthy,13,6794,2494,6347,-84.55143581210037,-88.78089460297977,-84.65005590109182,0.18498016107476825,0.7980633241600447,0.01695651476518709,0.1985756880748274,0.7845108798130961,0.016913432112076476
healthy,14,7309,2516,6901,-85.17469075243491,-89.03133152778274,-85.10421966604696,0.1813834475820552,0.8022395120059364,0.01637704041200839,0.19708052089606318,0.7854306622133093,0.017488816890627513
healthy,15,8224,2625,7677,-85.77569128253181,-90.24754224940709,-87.01240767428881,0.17698627432906724,0.8069240643682903,0.016089661302642475,0.17655958491995738,0.8042095876484354,0.01923082743160726
healthy,16,8674,2634,7982,-86.35522820490354,-91.36429017660015,-89.09382111074571,0.173406711984626,0.8109737505617961,0.0156195374535779,0.16075740165043131,0.8165376511822918,0.022704947167276827
healthy,17,9077,2685,8242,-86.9140696966459,-90.84507211582176,-89.93520486438717,0.1699237415165385,0.8149009302164146,0.015175328267046916,0.16361578349426897,0.811789422394088,0.02459479411164306
healthy,18,8970,2817,8178,-87.45295513155271,-89.93879804790633,-89.70840460002262,0.16639931683692794,0.8188052489452065,0.014795434217865555,0.16903050213613602,0.806221393438223,0.024748104425641175
healthy,19,8707,2739,7877,-87.97259641989004,-90.47790354226966,-90.31891074791405,0.1631310999501747,0.8224778785436467,0.014391021506178553,0.16513893575477526,0.8094059017160233,0.025455162529201575
healthy,20,8327,2652,7524,-88.47368143068998,-92.80624055071294,-91.48658328966407,0.1598448315831778,0.8261147440210026,0.014040424395819673,0.18421183682872191,0.7987914958372297,0.01699666733404829
diseased,2,4719,325,4489,-69.73252174953547,-72.47564031747672,-65.93956537474023,0.26873224476860025,0.7000173728131248,0.03125038241827497,0.3225945353193774,0.6565698234702637,0.020835641210358885
diseased,3,5924,1396,5506,-71.03151514149735,-75.1943162655762,-70.5955843868318,0.25976782200714593,0.7097605823482122,0.030471595644641823,0.2998215371028286,0.6788598094859495,0.02131865341122199
diseased,4,5428,1284,4814,-72.28860769627336,-76.25149963949329,-79.28031174771064,0.2517090865370699,0.718753122021348,0.029537791441582084,0.2958990516468442,0.683301484387583,0.020799463965572744
diseased,5,4845,854,3945,-73.50514942240264,-79.12304578061963,-85.37312334976873,0.24514129371920396,0.7265842691080044,0.028274437172791666,0.24724015034114621,0.7243177668618132,0.028442082797040812
diseased,6,3672,637,3016,-74.68244370246467,-77.4118890268275,-79.98913303104572,0.2418827672542551,0.7319703911032809,0.026146841642464013,0.25853050712264924,0.7149764899156037,0.026493002961747048
diseased,7,3493,588,3018,-75.82177298362397,-77.74659457823046,-78.73724211028588,0.23511746994523233,0.7397393557177674,0.025143174337000355,0.2773216208214804,0.6988341220755564,0.023844257102963208
diseased,8,3248,412,2775,-76.92434971128529,-79.07407867098317,-80.72027826876254,0.22988483406695123,0.7463273343391916,0.023787831593857122,0.2582744236848071,0.7160099110239114,0.025715665291281557
diseased,9,3368,372,2903,-77.99136340953802,-79.81592754651142,-81.98230141506005,0.22448479238654623,0.7529407766138572,0.022574430999596582,0.2650534998201485,0.7148218731468041,0.020124627033047265
diseased,10,3110,376,2672,-79.02396112986722,-80.65640450538473,-83.32504253901408,0.21893977493428904,0.7595668067321351,0.021493418333575896,0.28147947194752915,0.7062409906427485,0.012279537409722435
diseased,11,3288,362,2837,-80.02325313930461,-82.77761652193017,-85.39646330407525,0.21318455603754297,0.7662544969334555,0.020560947029001606,0.25601992253287637,0.7298831521077177,0.014096925359406138
diseased,12,3303,289,2832,-80.99031300829108,-89.84646892877599,-88.47411890218487,0.2075154831602233,0.7727968955337278,0.01968762130604898,0.1667198435213949,0.8048091500407456,0.02847100643785954
diseased,13,3311,252,2786,-81.9261805690186,-90.58032773033021,-89.40230399074952,0.20185771350114784,0.7792496976976936,0.01889258880115848,0.14879260893571702,0.8264256959042844,0.024781695159998403
diseased,14,3241,234,2712,-82.83186297767408,-92.4963106334719,-89.92010631744137,0.19578774665159265,0.7859152991998688,0.01829695414853849,0.12939779807219495,0.8465601684621312,0.024042033465673785
diseased,15,3217,227,2660,-83.70833182338869,-93.05933477594989,-91.76398597157987,0.19014763786947306,0.7922002198527419,0.017652142277784957,0.14098175088188883,0.8436312451782418,0.015387003939869331
diseased,16,3043,155,2451,-84.5565292262513,-95.35118319603704,-93.99858205010092,0.1849925407567383,0.7980678854386245,0.01693957380463712,0.1391469249870515,0.8475897833124785,0.013263291700470007
diseased,17,2930,73,2315,-85.37736838745916,-96.68978118896484,-94.7288466781056,0.17977877352726743,0.8039055124827367,0.016315713989995907,0.13666059894177374,0.851583925877475,0.011755475180751042
