vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
rca1,healthy,-2.47265625,168,51.225872811816984,56.143879578919325,45.79859395254226,50.93499357899583,9.516940478051392
rca1,healthy,-2.12109375,375,48.5603372446696,56.14387957891927,44.88604218546549,50.934993578995666,9.841223331258787
rca1,healthy,-1.76953125,549,47.6281205439611,56.143879578918906,43.71395466844458,50.9349935789952,10.526366485396395
rca1,healthy,-1.41796875,695,43.134775260541076,56.10620476648056,40.491838076474856,50.90511919309921,11.402400516037636
rca1,healthy,-1.06640625,826,33.442141807685466,54.11509549020697,33.415325953365816,49.326261515261415,12.084095813694885
rca1,healthy,-0.71484375,974,17.009177136959725,49.04678041437531,20.9491058400769,45.30732178828065,13.553092003454452
rca1,healthy,-0.36328125,1225,-5.603155756726557,43.233567117247595,2.9982334038128657,40.69771218199377,16.216161076137837
rca1,healthy,0.33984375,1265,-28.321094883948916,-73.22383328328104,-14.354067923853048,-50.74181334399859,18.736858531865867
rca1,healthy,0.69140625,1273,-46.046752596313524,-70.25287992452174,-27.640343280074546,-48.38037651063137,21.17176229732869
rca1,healthy,1.04296875,1350,-54.55315007430536,-66.97729037171946,-33.892166868669015,-45.78889030751297,24.984129280877614
rca1,healthy,1.39453125,1421,-56.30538431227333,-63.086500322329876,-35.21063370007516,-42.71998014624851,29.881124807794592
rca1,healthy,1.74609375,1509,-54.30096129754113,-57.49905414386606,-33.527640669412214,-38.29031344392715,34.79426160885786
rca1,healthy,2.09765625,1577,-51.10775099877095,-52.422603900610405,-31.04882084391657,-34.26626216145168,39.57285166473045
rca1,healthy,2.44921875,1659,-46.972692731563555,-49.25128896900299,-28.127423946687873,-31.771608496557725,43.73229038599629
rca1,healthy,2.80078125,1731,-42.87114654693608,-43.56727542692138,-25.081964249395003,-27.279783402617994,47.78982887052171
rca1,healthy,3.15234375,1810,-39.120852760188484,-39.022916949200514,-22.11359987219394,-23.694544926409993,50.75136006968894
rca1,healthy,3.50390625,1885,-35.04459314447499,-36.69692833564943,-19.112338960060075,-21.869227763471407,52.64370949917938
rca1,healthy,3.85546875,1895,-29.746629308459,-30.33588144660436,-14.990043236209095,-16.837045696185072,54.158793353721244
