vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
rca1,healthy,-2.47265625,168,51.01824494770595,56.143879578919325,45.60126543045044,50.93499357899583,9.520528360002517
rca1,healthy,-2.12109375,375,48.24411626180013,56.14387957891927,44.58721137491862,50.934993578995666,9.866659249933452
rca1,healthy,-1.76953125,549,47.29563688754167,56.143879578918906,43.39981516158863,50.9349935789952,10.600369767568903
rca1,healthy,-1.41796875,695,42.75225423085604,56.10620476648056,40.13071927406805,50.90511919309921,11.547572095687109
rca1,healthy,-1.06640625,826,32.928719413193896,54.11509549020697,32.92919942022236,49.326261515261415,12.334028493320735
rca1,healthy,-0.71484375,974,16.289176281962305,49.04678041437531,20.259165907787345,45.30732178828065,13.869629460769405
rca1,healthy,-0.36328125,1225,-6.674085192631702,43.233567117247595,1.9725065984044756,40.69771218199377,16.65567972977017
rca1,healthy,0.33984375,1325,-29.708613896010057,-74.76740364038957,-15.762466325939826,-52.213437560997676,19.37790120448095
rca1,healthy,0.69140625,1355,-47.55401671267084,-72.42944135418449,-29.20614015229074,-50.42818499233187,21.644420260842818
rca1,healthy,1.04296875,1439,-56.56065967879915,-69.3749404905232,-35.787199460275474,-48.02465291603607,25.302457455419248
rca1,healthy,1.39453125,1539,-58.61233792001354,-66.27136228510363,-37.32840500147487,-45.66554415127748,30.206081167073517
rca1,healthy,1.74609375,1639,-57.57023327542631,-61.224849331049086,-36.41525595092861,-41.6767192269485,35.075722118660885
rca1,healthy,2.09765625,1739,-55.237361144032405,-57.24670378776533,-34.622648423947844,-38.58054255919424,39.81401799947841
rca1,healthy,2.44921875,1839,-51.93411117289752,-54.61597530720451,-32.313350786716796,-36.52051856639012,44.13235557025053
rca1,healthy,2.80078125,1939,-48.65417574864801,-50.04337180478553,-29.95410851137487,-32.947382966010466,48.144825728305086
rca1,healthy,3.15234375,2039,-45.792187288849306,-46.303311538799555,-27.78663845448707,-30.01538443269663,51.24257645033787
rca1,healthy,3.50390625,2139,-42.79881186661402,-44.66034038345572,-25.685154006602666,-28.75314399326514,53.53126892465599
rca1,healthy,3.85546875,2239,-39.763197606405335,-41.598606464184996,-23.491752086046713,-26.50099441857712,55.17767817003278
rca1,healthy,4.20703125,2339,-36.598375589024975,-38.27416261968041,-21.163135923645903,-24.015781421755765,56.37410992280546
rca1,healthy,4.55859375,2439,-33.26808750458358,-35.29150341553621,-18.50855815212665,-21.77124267720876,57.27659692864498
rca1,healthy,4.91015625,2539,-29.224616966387472,-30.630410870538057,-15.588195405140455,-18.15164850228194,58.374830810667426
rca1,healthy,5.26171875,2639,-24.891483264332606,-25.42334539590154,-12.450200393169204,-14.119785433641184,59.463973568594454
rca1,healthy,5.61328125,2739,-20.306814074168113,-19.96732805867535,-9.043256403800125,-9.87119834760261,60.28519990405595
rca1,healthy,5.96484375,2839,-15.599134115485835,-15.643835935920565,-5.530031823354021,-6.556947858618149,60.49343342095006
rca1,healthy,6.31640625,2939,-10.905289701273263,-11.08713891067189,-1.9366079096528046,-2.996142315649462,60.08057457118599
rca1,healthy,6.66796875,3039,-6.186860761504379,-5.728623806214935,1.7665025000118746,1.2510429276762618,59.257716035203
rca1,healthy,7.01953125,3139,-1.6955416197608177,0.17603255596274214,5.250846188381319,5.982984672341995,58.476012454450874
